probe_id	phase	context_type	query	entry_headword	entry_reading	route	reference_version	environment	count_value	count_kind	captured_row_count	exhaustive	captured_scope	rank	captured_at	private_evidence_pointer	evidence_sha256	japanese	english	japanese_id	english_id	pinned_corpus_presence	lexical_relation
D21	discovery	dictionary-entry-route	食べた	食べる	たべる	search-best-match-to-word-detail-inline-examples	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	""	not-displayed	20	false	ordered-top-20-structural-probe	1	2026-08-14T23:50:20+09:00	private://issue-147/D21-entry-taberu-scroll-003.jpeg	128560698075862020fa8a873833b05c660d04a3335da5277efd90b611debcec	食べた。	I ate.	5254848	1098492	true	dictionary-entry-associated-example
D21	discovery	dictionary-entry-route	食べた	食べる	たべる	search-best-match-to-word-detail-inline-examples	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	""	not-displayed	20	false	ordered-top-20-structural-probe	2	2026-08-14T23:50:20+09:00	private://issue-147/D21-entry-taberu-scroll-003.jpeg	128560698075862020fa8a873833b05c660d04a3335da5277efd90b611debcec	食べる。	I will eat.	5254850	1098495	true	dictionary-entry-associated-example
D21	discovery	dictionary-entry-route	食べた	食べる	たべる	search-best-match-to-word-detail-inline-examples	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	""	not-displayed	20	false	ordered-top-20-structural-probe	3	2026-08-14T23:50:20+09:00	private://issue-147/D21-entry-taberu-scroll-003.jpeg	128560698075862020fa8a873833b05c660d04a3335da5277efd90b611debcec	食べた？	Have you eaten?	11604006	953286	true	dictionary-entry-associated-example
D21	discovery	dictionary-entry-route	食べた	食べる	たべる	search-best-match-to-word-detail-inline-examples	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	""	not-displayed	20	false	ordered-top-20-structural-probe	4	2026-08-14T23:50:21+09:00	private://issue-147/D21-entry-taberu-scroll-004.jpeg	760801978763072c88ce53786c45008ca8f72815c59981bac14623b405eefa77	食べる？	Do you want to eat?	12824508	773323	true	dictionary-entry-associated-example
D21	discovery	dictionary-entry-route	食べた	食べる	たべる	search-best-match-to-word-detail-inline-examples	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	""	not-displayed	20	false	ordered-top-20-structural-probe	5	2026-08-14T23:50:23+09:00	private://issue-147/D21-entry-taberu-scroll-005.jpeg	c7c3659913f790e9f3fcb881e9ab446e498b3cbd9d404d28435fda6bca69576d	食べたの？	Have you eaten?	1430239	953286	true	dictionary-entry-associated-example
D21	discovery	dictionary-entry-route	食べた	食べる	たべる	search-best-match-to-word-detail-inline-examples	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	""	not-displayed	20	false	ordered-top-20-structural-probe	6	2026-08-14T23:50:24+09:00	private://issue-147/D21-entry-taberu-scroll-006.jpeg	04d763fc54868cfa2ac5720ce254c1e5e5418fe8d198879b886f6848922b047c	食べるな！	Don't eat!	5072721	5072694	true	dictionary-entry-associated-example
D21	discovery	dictionary-entry-route	食べた	食べる	たべる	search-best-match-to-word-detail-inline-examples	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	""	not-displayed	20	false	ordered-top-20-structural-probe	7	2026-08-14T23:50:24+09:00	private://issue-147/D21-entry-taberu-scroll-006.jpeg	04d763fc54868cfa2ac5720ce254c1e5e5418fe8d198879b886f6848922b047c	食べたい？	Do you want to eat?	12824509	773323	true	dictionary-entry-associated-example
D21	discovery	dictionary-entry-route	食べた	食べる	たべる	search-best-match-to-word-detail-inline-examples	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	""	not-displayed	20	false	ordered-top-20-structural-probe	8	2026-08-14T23:50:28+09:00	private://issue-147/D21-entry-taberu-scroll-008.jpeg	1ff9767c813d9a2b1d4a21b543e5cbb134dfcf02d993221e0ae2e32ccff3fa47	食べました。	I've eaten.	2492490	5167613	true	dictionary-entry-associated-example
D21	discovery	dictionary-entry-route	食べた	食べる	たべる	search-best-match-to-word-detail-inline-examples	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	""	not-displayed	20	false	ordered-top-20-structural-probe	9	2026-08-14T23:50:28+09:00	private://issue-147/D21-entry-taberu-scroll-008.jpeg	1ff9767c813d9a2b1d4a21b543e5cbb134dfcf02d993221e0ae2e32ccff3fa47	何食べたの？	What did you have to eat?	2505736	36600	true	dictionary-entry-associated-example
D21	discovery	dictionary-entry-route	食べた	食べる	たべる	search-best-match-to-word-detail-inline-examples	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	""	not-displayed	20	false	ordered-top-20-structural-probe	10	2026-08-14T23:50:29+09:00	private://issue-147/D21-entry-taberu-scroll-009.jpeg	0a98897efb3ee2928440ddbd6265327620ca376722b4400ba527bc0ea0fccbb0	もう食べた。	I already ate.	2969826	1847831	true	dictionary-entry-associated-example
D21	discovery	dictionary-entry-route	食べた	食べる	たべる	search-best-match-to-word-detail-inline-examples	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	""	not-displayed	20	false	ordered-top-20-structural-probe	11	2026-08-14T23:50:30+09:00	private://issue-147/D21-entry-taberu-scroll-010.jpeg	c0861246aca399955862ecb59dfac5d7bf06b794ce8a5913cf95c1f27a8d30d0	何食べたい？	What do you want to eat?	3466602	372015	true	dictionary-entry-associated-example
D21	discovery	dictionary-entry-route	食べた	食べる	たべる	search-best-match-to-word-detail-inline-examples	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	""	not-displayed	20	false	ordered-top-20-structural-probe	12	2026-08-14T23:50:32+09:00	private://issue-147/D21-entry-taberu-scroll-011.jpeg	880475e073a6ab287438651314383259b1005274311186ae9bf28ce78969df75	食べなさい！	Eat!	4770397	3628784	true	dictionary-entry-associated-example
D21	discovery	dictionary-entry-route	食べた	食べる	たべる	search-best-match-to-word-detail-inline-examples	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	""	not-displayed	20	false	ordered-top-20-structural-probe	13	2026-08-14T23:50:33+09:00	private://issue-147/D21-entry-taberu-scroll-012.jpeg	330032c71a6c7e66a8adbfaf8f6d1ed1cbdcd62d4cf568598afb1b5bf4efa50c	魚を食べる。	I eat fish.	6828205	7730719	true	dictionary-entry-associated-example
